小团圆,7.6,40909人评价,https://book.douban.com/subject/3616310/,自传性作品，团圆只存在幻灭之中
泡沫之夏,6.9,42670人评价,https://book.douban.com/subject/1596305/,霸道总裁爱上我
会有天使替我爱你,6.6,43656人评价,https://book.douban.com/subject/1291760/,理想化
1984,9.3,41240人评价,https://book.douban.com/subject/4820710/,栗树荫下，我出卖你，你出卖我
年华是无效信,7.6,39396人评价,https://book.douban.com/subject/1227838/,女生间的微妙友谊
幻夜,7.5,42602人评价,https://book.douban.com/subject/4009552/,《白夜行》续篇，恶的幻夜吞噬一切
在路上,7.8,38811人评价,https://book.douban.com/subject/1917972/,我们非去不可，在到达之前，永不停止
射雕英雄传（全四册）,8.9,33115人评价,https://book.douban.com/subject/1044547/,侠之大者，为国为民
明朝那些事儿（1-9）,9.1,36946人评价,https://book.douban.com/subject/3674537/,不拘一格的历史书写
月亮忘記了,8.6,35560人评价,https://book.douban.com/subject/1358873/,月明星稀的晚上，看不见的，看见了
明朝那些事儿（叁）,8.9,35435人评价,https://book.douban.com/subject/2052448/,圣人般的王守仁，大娱乐家朱厚照
哭泣的骆驼,8.9,30381人评价,https://book.douban.com/subject/1029111/,沙漠中寻常的生与死
原来你还在这里,7.6,38383人评价,https://book.douban.com/subject/2331434/,还在的只有回忆
半生缘,8.6,36503人评价,https://book.douban.com/subject/1963684/,世钧，我们回不去了
此间的少年,8.4,35717人评价,https://book.douban.com/subject/1020459/,象牙塔里的金庸群侠
货币战争,7.2,39657人评价,https://book.douban.com/subject/2081876/,无所不能的罗斯柴尔德家族
佳期如梦,7.9,36173人评价,https://book.douban.com/subject/1962929/,玛丽苏成人童话
人类简史,9.1,41663人评价,https://book.douban.com/subject/25985021/
无人生还,8.9,35715人评价,https://book.douban.com/subject/3006581/,童谣杀人案
一個人住第5年,8.4,34815人评价,https://book.douban.com/subject/1346815/,独居生活之乐
了不起的盖茨比,8.3,37430人评价,https://book.douban.com/subject/1008988/,梦，就像黛西家的那一缕绿光
时间旅行者的妻子,8.1,35496人评价,https://book.douban.com/subject/2056749/,在时间的缝隙中穿行，然后相遇
告别薇安,7.5,37502人评价,https://book.douban.com/subject/1016523/,七月与安生
常识,8.1,35443人评价,https://book.douban.com/subject/3344676/,献给这个常识稀缺的时代
爱你就像爱生命,8.8,35807人评价,https://book.douban.com/subject/3071717/,王小波与李银河的两地书
撒哈拉的故事,9.3,34470人评价,https://book.douban.com/subject/6710437/,不枉来这世上走一遭
步步惊心,8.1,35167人评价,https://book.douban.com/subject/1812439/,现世太苦，不如穿越回去从头来过
皮囊,7.7,40734人评价,https://book.douban.com/subject/26278687/,皮囊之下，骨肉相连
二三事,7.7,35770人评价,https://book.douban.com/subject/1058234/,关于遗忘和记得的故事
兄弟（下）,7.4,37256人评价,https://book.douban.com/subject/1703544/,失控边缘的下部，但谁说荒诞就是不真
孤独六讲,8.1,35804人评价,https://book.douban.com/subject/4124727/,作为一种美学的孤独
乌合之众,8.3,36739人评价,https://book.douban.com/subject/1012611/,群氓心理剖析
盗墓笔记2,8.2,34461人评价,https://book.douban.com/subject/2057285/,秦岭神树细思极恐
明朝那些事儿（肆）,8.8,32593人评价,https://book.douban.com/subject/2253642/,大明朝当真名士如云
失恋33天,8.1,33973人评价,https://book.douban.com/subject/4238754/,失恋是一种病，痊愈之后百毒不侵
动物农场,9.2,33072人评价,https://book.douban.com/subject/2035179/,太阳底下并无新事
左耳,7.0,37585人评价,https://book.douban.com/subject/1469051/,当时只道是寻常
鹿鼎记（全五册）,8.8,27897人评价,https://book.douban.com/subject/1212893/,武侠的解构，流氓的狂欢
荆棘鸟,8.6,31899人评价,https://book.douban.com/subject/1086249/,澳洲乱世情
左手倒影，右手年华。,6.7,38021人评价,https://book.douban.com/subject/1006881/,明媚啊明媚
零下一度,7.2,35897人评价,https://book.douban.com/subject/1034108/,青春期习作
像少年啦飞驰,7.3,35740人评价,https://book.douban.com/subject/1009160/,属于少年的日子飞驰而过
寻路中国,9.0,30719人评价,https://book.douban.com/subject/5414391/,中国在路上，非虚构写作所能达到的高度
被窝是青春的坟墓,7.7,33785人评价,https://book.douban.com/subject/2339950/,“要有最朴素的生活，与最遥远的梦想“
我们台湾这些年,7.4,34943人评价,https://book.douban.com/subject/4113090/,平民视角下的台湾大事记
1Q84 BOOK 3,7.6,34370人评价,https://book.douban.com/subject/5502995/,兜了一大圈，村上还是回归了他的小确幸
关于莉莉周的一切,7.7,33317人评价,https://book.douban.com/subject/1926700/,残酷青春的艰难呼吸
机器猫哆啦A梦23,9.5,27796人评价,https://book.douban.com/subject/1204889/,满满的回忆
阿Q正传,8.7,30638人评价,https://book.douban.com/subject/1088065/,哀其不幸，怒其不争
乖，摸摸头,7.4,34752人评价,https://book.douban.com/subject/25984204/,他人的生活总是比你的精彩
大地之灯,8.2,30772人评价,https://book.douban.com/subject/1963310/,两代人的成长与救赎
摆渡人,6.3,43206人评价,https://book.douban.com/subject/26356948/
黄金时代,8.9,30354人评价,https://book.douban.com/subject/1082406/,永远生猛下去
明朝那些事儿（伍）,8.8,29699人评价,https://book.douban.com/subject/3009821/,内忧外患之际，你方唱罢我登场
骆驼祥子,8.2,32811人评价,https://book.douban.com/subject/1043815/,如骆驼喘息般深刻的绝望
盗墓笔记3,8.4,30611人评价,https://book.douban.com/subject/2298149/,逼近死亡的云顶天宫之旅
麦琪的礼物,8.6,29921人评价,https://book.douban.com/subject/1051193/,日常的奇迹
格林童话全集,8.9,28995人评价,https://book.douban.com/subject/1043008/,许多隐晦
如何阅读一本书,8.4,32089人评价,https://book.douban.com/subject/1013208/,读书的方法论
当我们谈论爱情时我们在谈论什么,7.8,32513人评价,https://book.douban.com/subject/4010969/,疏离而断裂，生活的冷与干涩
尘埃落定,8.4,30316人评价,https://book.douban.com/subject/1080309/,一个傻子的土司家族传奇
水仙已乘鲤鱼去,7.8,30853人评价,https://book.douban.com/subject/1018153/,暴食与减肥的桥段印象深刻
历史深处的忧虑,9.0,28156人评价,https://book.douban.com/subject/1027191/,窥见美国社会的一扇窗
嫌疑人X的献身,9.0,30614人评价,https://book.douban.com/subject/25924253/
小时代2.0虚铜时代,6.3,35234人评价,https://book.douban.com/subject/4038164/,淳朴自贡少年十里洋场欲海翻波为哪般
金锁记,8.5,29506人评价,https://book.douban.com/subject/3017857/,曹七巧就像希克厉，一个扭曲的英雄
你好，旧时光（上 下）,8.8,28727人评价,https://book.douban.com/subject/4166819/,原作名切题
东霓,8.1,29819人评价,https://book.douban.com/subject/4874131/,自毁而偏执的东霓
海贼王,9.5,26313人评价,https://book.douban.com/subject/1474773/,热血，梦想，希望
那些回不去的年少时光,8.5,28612人评价,https://book.douban.com/subject/4231381/,所有你曾热爱却正在遗忘的人和事
孩子你慢慢来,8.8,28674人评价,https://book.douban.com/subject/4207781/,我们现在怎样做母亲
橙,8.3,28238人评价,https://book.douban.com/subject/5327697/,定做一个刻着“不过如此”的章，盖在封面上
悲惨世界（上中下）,8.9,27123人评价,https://book.douban.com/subject/1205054/,现实主义与浪漫主义的至高杰作
盗墓笔记4,8.4,28402人评价,https://book.douban.com/subject/3266344/,蛇沼鬼城，坑越挖越多了
巴别塔之犬,7.7,29693人评价,https://book.douban.com/subject/2139305/,超越语言与生死的爱
香水,8.5,27628人评价,https://book.douban.com/subject/1292416/,恋味癖谋杀案
梦里花落知多少,8.9,27902人评价,https://book.douban.com/subject/2070844/,哀而不伤
一只特立独行的猪,8.8,28168人评价,https://book.douban.com/subject/1767945/,生活就是个缓慢受锤的过程，至少还可以特立独行
局外人,9.0,31790人评价,https://book.douban.com/subject/4908885/
一个人的朝圣,8.1,31193人评价,https://book.douban.com/subject/24934182/
史蒂夫·乔布斯传,8.7,27329人评价,https://book.douban.com/subject/6798611/,完美主义者的最高形态
看不见的城市,8.8,26707人评价,https://book.douban.com/subject/1863930/,每一座城市都只在想象中耸立，又在描述中坍圮
长恨歌,8.3,28626人评价,https://book.douban.com/subject/1082349/,现代上海史诗
匆匆那年（上下）,8.3,27332人评价,https://book.douban.com/subject/2567919/,不悔梦归处 只恨太匆匆
草样年华,7.1,29967人评价,https://book.douban.com/subject/1007334/,大学生活启蒙读物
往事并不如烟,8.6,26503人评价,https://book.douban.com/subject/1059336/,知识分子的命运浮沉
蔷薇岛屿,8.0,27588人评价,https://book.douban.com/subject/1063190/,你们不会彼此遗忘。只会彼此消失
我的路,8.6,26016人评价,https://book.douban.com/subject/1431836/,忧郁的温暖
菊与刀,8.2,28421人评价,https://book.douban.com/subject/1022238/,复杂矛盾的日本民族
倾城之恋,8.7,26381人评价,https://book.douban.com/subject/1985223/,棋逢对手，心照不宣
刀锋,9.0,27294人评价,https://book.douban.com/subject/2035162/
球状闪电,8.7,26892人评价,https://book.douban.com/subject/1192090/,量子之外，没有真相
谁动了我的奶酪？,7.1,29920人评价,https://book.douban.com/subject/1021056/,鸡汤文始祖
飞鸟集,8.8,25615人评价,https://book.douban.com/subject/1058661/,淡泊，超脱
七夜雪,8.4,25715人评价,https://book.douban.com/subject/1919201/,抵不过时间
曾有一个人，爱我如生命,7.5,27637人评价,https://book.douban.com/subject/3506871/,一见嘉遇误终身
那些年，我们一起追的女孩,8.2,26339人评价,https://book.douban.com/subject/1958227/,那些年错过的大雨
